session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
WEP - Wednesday Poster Session,WEP005,"A compact top-off injection with cascaded nonlinear Kickers for diffraction limited storage rings690To address the intrinsic dynamic aperture (DA) limitations of fourth-generation diffraction-limited synchrotron light source, we investigate a novel injection scheme utilizing multiple nonlinear kickers (NLKs) with optimized hardware design and phase advances in the storage ring (SR). Positioning the NLKs near the injection point reduces beam perturbation, while their on-axis zero field and gradient enable transparent injection—suppressing orbit and beam-shape oscillations during top-off operations. Particle-tracking simulations were performed using Accelerator Toolbox (AT), alongside the development of automated tools for converting magnetic field maps into AT-compatible kick maps, inserting NLKs at arbitrary lattice locations, conducting tracking, and optimizing NLK configurations. A key challenge is to shift the off-axis magnetic field peak closer to the beam orbit. Our novel NLK design achieves a peak within 5 mm of the axis—a significant improvement over the conventional greater than 7 mm range. Simulations accounting for realistic alignment and magnetic field errors indicate that a relaxed 5 mm DA and injection efficiency > 90% could be feasible for the NSLS-II upgrade lattice.",,,,,False,https://meow.elettra.eu/97/pdf/WEP005.pdf,True,,False,https://doi.org/10.18429/JACoW-NAPAC2025-WEP005,
WEP - Wednesday Poster Session,WEP006,"Application of low-cost sensors and deep autoencoders for monitoring water pumps in particle accelerators694In particle accelerator facilities, cooling-water pumps play a critical role in removing substantial amounts (in megawatts) of waste heat from numerous high-power accelerator components (e.g., magnets, radio frequency structures, power supplies) and beamline components*. Despite their role in daily operations, inspecting hundreds of water pumps is labor-intensive and performed only occasionally. Their unexpected failures can potentially lead to degradation of beam quality, hardware damage, and costly unplanned downtime**. This study introduces an innovative method for real-time monitoring of water pump vibrations to identify anomalies that signal potential mechanical failures. Our approach integrates (i) low-cost vibration sensors, which will consistently sample pump vibration data and transmit it to a (ii) Deep Autoencoder*** model for detecting anomalies. The autoencoder model recognizes each pump's normal pump vibration patterns and identifies subtle deviations. This monitoring framework can facilitate proactive maintenance by enabling early detection of anomalies, enhancing pump reliability, lowering maintenance expenses, and minimizing costly downtimes.",,,,,False,https://meow.elettra.eu/97/pdf/WEP006.pdf,True,,False,https://doi.org/10.18429/JACoW-NAPAC2025-WEP006,
WEP - Wednesday Poster Session,WEP007,A simulation of the Fermilab Main Injector dual power amplifier cavities698The Fermilab Main Injector accelerating cavities have sparking issues when they are run at voltages higher than those required by the PIP-II project. This is a problem Fermilab is working on as planning begins for the next upgrade to the accelerator complex. One of the methods being used to address the issue is the development of a CST Microwave Studio simulation to accurately model the PIP-II dual power amplifier cavities and identify which part(s) of the cavity is causing sparking to develop. The model will also be used to determine if changes to the cavity geometry may allow the cavity to be used at higher voltages before sparking occurs.,,,,,False,https://meow.elettra.eu/97/pdf/WEP007.pdf,True,,False,https://doi.org/10.18429/JACoW-NAPAC2025-WEP007,
WEP - Wednesday Poster Session,WEP008,"A W-band corrugated waveguide for high-efficiency high-gradient wakefield acceleration701Compact RF structures in the sub-terahertz regime are promising for structure wakefield acceleration due to their ability in achieving high gradients in a reduced footprint. We report on the design, fabrication, and testing of a metallic corrugated waveguide operating at 110 GHz, tailored to the 42 MeV electron beam parameters at the Argonne Wakefield Accelerator (AWA). The experiment utilized the emittance exchange (EEX) beamline at AWA for longitudinal bunch shaping in two configurations: (1) a single short drive bunch to study high decelerating gradients, and (2) a two-bunch scheme featuring a triangularly shaped drive bunch followed by a long witness bunch to probe the wakefield and achieve a high transformer ratio. We will present the experimental design and results, which show good agreement with simulation predictions.",,,,,False,https://meow.elettra.eu/97/pdf/WEP008.pdf,True,,False,https://doi.org/10.18429/JACoW-NAPAC2025-WEP008,
WEP - Wednesday Poster Session,WEP011,Analysis of vapor diffusion Nb3Sn coating at Fermilab: Minimizing impurities using TOF-,,,,,False,https://meow.elettra.eu/97/pdf/WEP011.pdf,True,,False,https://doi.org/10.18429/JACoW-NAPAC2025-WEP011,
WEP - Wednesday Poster Session,SIMS705,"Nb$_3$Sn demonstrates steady advancements nowadays offering reduced power cost in superconducting radio-frequency cavities due to its high critical temperature, quality factor, and achieved accelerating gradient. However, theoretical estimates of its radio-frequency parameters have not been achieved due to several potentially limiting mechanisms: tin spots, patchy regions, defects, thermal impedance, and impurities. While some of these limitations have been intensively studied, impurity analysis in Nb$_3$Sn coatings have received less attention. We report an investigation of impurities in several vapor-diffused Nb$_3$Sn coated samples using time-of-flight secondary ion mass spectroscopy (TOF-SIMS) and show allowable impurity levels in view of superconducting cavity performance. Challenges and lessons learned in maintaining clean Nb$_3$Sn coatings are also discussed.",,,,,False,,False,,False,https://doi.org/10.18429/JACoW-NAPAC2025-SIMS705,
WEP - Wednesday Poster Session,WEP013,"Compact electron buncher with tunable permanent magnet focusing709We present a compact electron buncher that uses a permanent magnet setup for beam focusing. The buncher modulates the input direct-current beam into 5.7-GHz bunch train. The buncher consists of two radiofrequency (RF) cavities. Immediately downstream of each RF cavity, there is an electrostatic potential depression (EPD) section. An EPD section in an electrically insulated beam pipe biased with a negative high voltage. The EPD method remarkably shortens the buncher structure by rapidly forming the bunch train. Each of the RF cavities and the EPD sections uses an individual set of rectangular permanent magnets, arranged in a circular array, which provide a solenoid-like focusing field. The polarity of the magnets is configured to form an alternating on-axis magnetic field orientation for minimizing the total weight. Coarse adjustment of the magnetic field is achieved by adding or removing permanent magnet rectangles. For fine adjustments, the rectangles are moved evenly in the radial direction. We show simulation results of the buncher performance and the tunable magnetic focusing. Initial experimental results are also reported.",,,,,False,https://meow.elettra.eu/97/pdf/WEP013.pdf,True,,False,https://doi.org/10.18429/JACoW-NAPAC2025-WEP013,
WEP - Wednesday Poster Session,WEP014,"Consideration of HTS rapid-cycling magnet for staged muon acceleration712The HTS conductor hysteresis dominates magnet cable power loss but is independent of the magnetic field ramping rate. This makes the HTS conductor suitable to power the rapid-cycling accelerator magnet. We present a possible application of the HTS rapid-cycling magnet as outlined in [1,2] for the staged muon acceleration including the front-end Recirculating Linear Accelerator and the followed-up Rapid Cycling Synchrotrons delivering the muon beams to the Muon Collider. [1]",,,,,False,https://meow.elettra.eu/97/pdf/WEP014.pdf,True,,False,https://doi.org/10.18429/JACoW-NAPAC2025-WEP014,
WEP - Wednesday Poster Session,WEP015,"Co-sputter deposition of Nb₃Sn layer into SRF cavity using Nb-Sn composite target715Nb₃Sn, with its superior superconducting critical temperature (Tc ~18.3 K) and superheating field (Hsh ~400 mT), is considered a promising material for superconducting radiofrequency (SRF) cavities, offering enhanced cryogenic performance compared to bulk niobium cavities. A Nb₃Sn coating technique has been developed for Nb SRF cavities using co-sputtering of Nb-Sn composite target in a DC cylindrical magnetron sputtering system. The composite target configuration and discharge conditions for co-sputtering were optimized to deposit Nb-Sn films on flat Nb substrates, followed by annealing to form Nb₃Sn. Multiple strategies have been explored to improve the surface homogeneity of the Nb₃Sn coating, including optimizing a two-step annealing process, annealing in Sn vapor, and a light Sn recoating process. A 1.5 µm Nb-Sn co-sputtered film was deposited on the interior of a 2.6 GHz Nb SRF cavity and annealed at 600 °C for 6 h, followed by 950 °C for 1 h. Cryogenic RF testing of the annealed cavity demonstrated a Tc of 17.8 K, confirming the formation of Nb₃Sn. Then, the annealed cavity underwent a light recoating treatment and attained a quality factor (Q0) of 8.5E+08 at 2.0 K.",,,,,False,https://meow.elettra.eu/97/pdf/WEP015.pdf,True,,False,https://doi.org/10.18429/JACoW-NAPAC2025-WEP015,
WEP - Wednesday Poster Session,WEP016,"Demonstration of a sheet electron beam production from a UNCD field emitter array719Ultra nanocrystalline diamond (UNCD) is a promising material for field emitters because of its mechanical and chemical stability, high thermal conductivity, and low electrical resistivity. We proposed to demonstrate fabrication of a special shape field emitter array to produce a sheet electron beam for high frequency vacuum tubes. At Los Alamos, we established a Field Emitter Array Test Stand (FEATS) where we can apply voltages up to 40 kV to test field emitter arrays in a vacuum level of 10^-7 Torr or lower. At this test stand, we can take beam images, measure beam current and study beam divergence. We fabricated diamond cathodes in form of arrays of 1 by 81 pyramids and used them to demonstrate production of a sheet electron beam. This talk will present details of the emission tests and analyses of the produced sheet beam.",,,,,False,https://meow.elettra.eu/97/pdf/WEP016.pdf,True,,False,https://doi.org/10.18429/JACoW-NAPAC2025-WEP016,
